siteID,year,生物數量,NO2,SO2,CO,PM2.5,PM10
1,2019,15888,9.5,1.6,0.31,11,26
1,2020,32213,7.947493506,1.577792208,0.285506494,11.57922078,25.02727273
1,2021,21449,8.477459408,1.17086915,0.273791786,11.73352436,23.02101242
1,2022,17981,7.555860612,0.855755016,0.268489968,9.636747624,21.41182682
1,2023,7098,9.135913978,1.024516129,0.30027957,13.52989247,27.67096774
2,2019,199,16.30320755,2.445283019,0.380188679,12.45283019,27.26415094
2,2020,1373,14.30052478,2.124489796,0.365102041,12.4606414,24.71720117
2,2021,1948,14.78523002,1.763680387,0.301041162,12.0653753,23.62953995
2,2022,2088,13.40647668,1.180051813,0.268963731,9.349740933,19.34455959
2,2023,681,13.00748299,0.965986395,0.285442177,11.63333333,24.31972789
3,2019,2036,3.994684685,2.144144144,0.186756757,14.16216216,49.64864865
3,2020,4834,4.386185102,1.836117381,0.224875847,14.23702032,41.98194131
3,2021,7836,4.775,1.875,0.214311224,12.66836735,37.2244898
3,2022,3114,4.546153846,0.679166667,0.210801282,11.12820513,33.85576923
3,2023,1758,3.992765957,0.532765957,0.22012766,13.49787234,38.53191489
4,2019,1848,13.63285714,1.714285714,0.367142857,11,21.14285714
4,2020,9280,10.54430657,1.761021898,0.326992701,10.71970803,19.30656934
4,2021,5297,9.768395462,1.437115073,0.305656402,10.01944895,20.33225284
4,2022,5375,9.673966942,0.738842975,0.266115702,8.138429752,17.88636364
4,2023,3659,10.16790831,0.696275072,0.291948424,10.17879656,23.38968481
5,2019,3223,14.92065574,1.854098361,0.411912568,11,25.9726776
5,2020,27894,13.42564516,1.905148883,0.37278536,12.38833747,24.07133995
5,2021,35981,12.84742424,1.340606061,0.333643939,11.01363636,23.24469697
5,2022,14244,12.9528866,0.776082474,0.330896907,8.488659794,20.28041237
5,2023,4539,13.07956044,1.132967033,0.353802198,11.50989011,26.9010989
6,2019,171,20.29181818,3.163636364,0.482727273,13.36363636,27.09090909
6,2020,743,16.94756757,2.260810811,0.43472973,12.83783784,25.44594595
6,2021,683,15.20980392,1.654901961,0.38372549,11.50980392,22.82352941
6,2022,1436,15.21296296,0.962037037,0.39,9.861111111,18.63888889
6,2023,622,13.74285714,0.710204082,0.382040816,13.52857143,25.53061224
7,2019,44,16.505,2.35,0.42,14,31.5
7,2020,471,14.69433333,2.54,0.421666667,13.93333333,27.06666667
7,2021,194,17.60714286,2.307142857,0.470714286,17.28571429,30.85714286
7,2022,489,12.09583333,1.2875,0.2875,10.91666667,23.04166667
7,2023,1779,13.42238806,0.807462687,0.325970149,13.75223881,31.95522388
8,2019,1122,17.6409434,2.241509434,0.490377358,13,24.32075472
8,2020,7108,13.46771689,1.744748858,0.431278539,12.56164384,24.0913242
8,2021,7789,13.58171206,1.340466926,0.386303502,12.81322957,22.85214008
8,2022,10573,14.38212121,1.010909091,0.380636364,11.15454545,17.88484848
8,2023,6626,14.67773109,1.038235294,0.405084034,14.96218487,24.85294118
9,2020,153,11.36166667,2.091666667,0.241666667,10.75,21.41666667
9,2021,111,13.58125,2.2,0.324375,17.5,32.25
9,2022,18,10.775,0.95,0.2375,10.75,21
9,2023,20,10.1,1,0.28,12,24
10,2019,2650,6.036857143,1.468571429,0.248857143,11.82857143,23.48571429
10,2020,5612,7.51509009,1.763513514,0.259144144,10.35585586,19.76576577
10,2021,6298,8.146875,1.327678571,0.2578125,11.05803571,21.94642857
10,2022,4591,6.840983607,0.730601093,0.245464481,8.978142077,16.50273224
10,2023,3252,8.447552448,1.051748252,0.277937063,11.75944056,24.44055944
11,2019,19567,9.282413793,1.83862069,0.296344828,9,24.06896552
11,2020,53539,10.45563842,1.887683616,0.305480226,11.66440678,22.73333333
11,2021,77274,11.14559216,1.620837044,0.288521817,12.96438112,25.52270703
11,2022,54368,10.72206367,0.81701427,0.275916575,8.622392975,17.8518112
11,2023,18403,11.01957237,0.840460526,0.281463816,13.52927632,25.86348684
12,2019,603,23.692,2.08,0.564,12.4,26
12,2020,2797,19.1072,1.837714286,0.523428571,12.62857143,23.46857143
12,2021,4325,17.96553398,1.683980583,0.479174757,13.38834951,24.69902913
12,2022,3605,16.74873096,0.973604061,0.425076142,9.355329949,20.43147208
12,2023,2386,18.09741935,0.878064516,0.446903226,13.29548387,30.09677419
13,2019,4012,20.42617647,1.872794118,0.409117647,13.75735294,28.78676471
13,2020,13335,17.57289244,1.841424419,0.416700581,11.98110465,23.9127907
13,2021,12694,18.67913562,1.633233979,0.435365127,14.61102832,26.21907601
13,2022,9691,15.87250923,0.958487085,0.362509225,9.767527675,17.69741697
13,2023,8334,17.29421338,1.074864376,0.415280289,15.03797468,26.59132007
14,2019,5111,15.03326733,1.600990099,0.365643564,11.4950495,24.97029703
14,2020,22210,12.28822086,1.587791411,0.349576687,11.75521472,22.03680982
14,2021,13706,12.58090737,1.290642722,0.325349716,12.66446125,22.78638941
14,2022,10867,11.75120167,0.671786834,0.276781609,10.35214211,18.19749216
14,2023,7636,10.72716378,0.712383489,0.289454061,13.87456724,25.08388815
15,2019,1535,18.20711111,2.302222222,0.381111111,14.48888889,29.44444444
15,2020,9808,16.63311813,2.099313187,0.392431319,13.48076923,25.21428571
15,2021,12234,15.26459259,1.82237037,0.342340741,13.23555556,24.8962963
15,2022,11123,14.52826087,1.144875776,0.289611801,8.854037267,22.66149068
15,2023,5013,14.27533981,1.056893204,0.307475728,11.18524272,25.38446602
