,ノ摸,縩
2017,笰穨ㄏノ,746572.62
2017,此狶ㄏノ,2163603.41
2017,ユ硄ㄏノ,118828.96
2017,ㄏノ,183916.93
2017,縱ㄏノ,184971.86
2017,そㄏノ,42902.47
2017,笴就ㄏノ,23733.36
2017,膓芉ㄏノ,5873.05
2017,ㄤㄏノ,214276.14
2019,笰穨ㄏノ,752115.9
2019,此狶ㄏノ,2152298.71
2019,ユ硄ㄏノ,120191.86
2019,ㄏノ,187058.77
2019,縱ㄏノ,188747.35
2019,そㄏノ,43413.9
2019,笴就ㄏノ,24675.67
2019,膓芉ㄏノ,5524.48
2019,ㄤㄏノ,210652.13
2021,笰穨ㄏノ,725849.28
2021,此狶ㄏノ,2143429.95
2021,ユ硄ㄏノ,124170.82
2021,ㄏノ,198232.91
2021,縱ㄏノ,192090.38
2021,そㄏノ,44466.42
2021,笴就ㄏノ,25154.21
2021,膓芉ㄏノ,3135.23
2021,ㄤㄏノ,228161.87
2023,笰穨ㄏノ,713452.09
2023,此狶ㄏノ,2151447.6
2023,ユ硄ㄏノ,125127.07
2023,ㄏノ,196348.54
2023,縱ㄏノ,196397.35
2023,そㄏノ,45988.87
2023,笴就ㄏノ,26125.62
2023,膓芉ㄏノ,3146.26
2023,ㄤㄏノ,226657.76
