siteID,year,month,河川污染指數,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,生化需氧量,化學需氧量,懸浮固體,大腸桿菌群,氨氮,氯鹽,總磷,總有機碳,硝酸鹽氮,亞硝酸鹽氮,鎘,鉛,六價鉻,砷,汞,銅,鋅,錳,銀,鎳,硒,濁度,鉻,總氮,總凱氏氮
1006,2019,12,1,16.4,18.4,7.51,155,,8.9,94.1,1,7.6,4,32000,0.25,,,,,,,,,,,,,,,,,,,,
1007,2019,12,2.25,16.3,18.3,7.45,174,,8.5,90.1,1.2,7.9,6.8,440000,2.1,,,,,,,,,,,,,,,,,,,,
1008,2019,12,1.5,15.5,18.5,7.73,191,,8.4,89,1.3,10.3,6.2,46000,0.61,,,,,,,,,,,,,,,,,,,,
1031,2019,12,1,11.8,15.7,3.2,456,,9.2,95.6,1,4,15.6,130,0.05,,,,,,,,,,,,,,,,,,,,
1032,2019,12,1,15.8,17,4.44,204,,9.5,97.3,1,4,14.8,340,0.02,,,,,,,,,,,,,,,,,,,,
1033,2019,12,1.5,15.4,17.1,4.42,208,,9.3,95.5,1,6.6,22.3,240,0.05,,,,,,,,,,,,,,,,,,,,
1001,2019,12,6.75,20.5,19.3,7.36,494,,1.6,17.1,8.4,23.3,17.2,280000,6.12,54.7,,,,,,,,,,,,,,,,,,,
1003,2019,12,3.5,20.5,19.8,7.28,7900,,4.1,44.9,1.7,15.4,14.6,9000,2.32,2900,,,,,,,,,,,,,,,,,,,
1004,2019,12,2.75,20.3,20,7.64,25800,,5.7,68.2,1.3,6.4,15.9,4400,1.34,8730,,,,,,,,,,,,,,,,,,,
1014,2019,12,1,16.7,18.1,8.79,244,,11,115.9,2.5,6.2,14.2,3400,0.01,,,,,,,,,,,,,,,,,,,,
1015,2019,12,1,16.5,19.2,7.52,340,,8.1,87.6,1.3,10.1,5.4,2100,0.02,,,,,,,,,,,,,,,,,,,,
1016,2019,12,6.75,16.7,19.1,7.16,571,,1.5,16.1,6.9,26.8,11.1,230000,4.22,54.1,,,,,,,,,,,,,,,,,,,
1017,2019,12,6.75,16.6,19.2,7.19,617,,1.6,17.6,9.9,31.4,13.1,3000000,7.24,58.5,,,,,,,,,,,,,,,,,,,
1039,2019,12,4.25,16.2,18.7,7.26,631,,4.9,52.3,1,16.7,8.7,28000,3.51,,,,,,,,,,,,,,,,,,,,
1041,2019,12,1,16,17.2,7.44,133,,9.6,99.7,1,4.6,2.2,570,0.02,,,,,,,,,,,,,,,,,,,,
1042,2019,12,4.5,15.7,17.5,7.34,304,,5.8,60.8,1,4,40.8,240000,1.49,,,,,,,,,,,,,,,,,,,,
1018,2019,12,1,17.2,18.2,7.51,133,,7.8,82.6,1.1,7.3,12.2,3800,0.18,,,,,,,,,,,,,,,,,,,,
1019,2019,12,3.25,20.1,18.9,7.16,230,,3.7,39.4,3.3,14.6,13.8,48000,0.61,15.5,,,,,,,,,,,,,,,,,,,
1020,2019,12,2.25,20.4,19.1,7.04,228,,3.4,36.6,2.9,13.6,18.2,41000,0.48,14.5,,,,,,,,,,,,,,,,,,,
1271,2019,12,1,15,15.2,7.49,103,,9.5,95.9,1,4,1.2,23000,0.06,,,,,,,,,,,,,,,,,,,,
1272,2019,12,1,15.4,18.3,7.52,114,,8.5,89.3,1,4,9.9,2100,0.03,,,,,,,,,,,,,,,,,,,,
1273,2019,12,1,17.4,19.6,7.58,208,,7,73.7,1.9,8,7.2,44000,0.03,10.5,,,,,,,,,,,,,,,,,,,
1347,2019,12,1,15.2,17.3,7.43,97,,9.3,96.1,1,4,2.4,3000,0.01,,,,,,,,,,,,,,,,,,,,
1022,2019,12,1,15.9,17.6,7.51,160,,9.6,99.9,1,4.4,3,6900,0.14,,,,,,,,,,,,,,,,,,,,
1274,2019,12,1,15.4,17.4,7.37,157,,10.1,104.7,1,4,11.4,6600,0.08,,,,,,,,,,,,,,,,,,,,
1005,2019,12,1,15.6,18,7.32,133,,9.1,97.2,1,4,3.1,21000,0.12,,,,,,,,,,,,,,,,,,,,
1009,2019,12,1,14.4,18.6,7.51,194,,7.6,80.9,2.3,7.7,4.4,22000,0.34,,,,,,,,,,,,,,,,,,,,
1037,2019,12,1,16.2,17.9,7.81,124,,9.1,96.2,1,4.6,5.8,21000,0.03,,,,,,,,,,,,,,,,,,,,
1038,2019,12,1,15.4,17.6,7.78,131,,9.3,97.8,1,4.1,3.4,22000,0.03,,,,,,,,,,,,,,,,,,,,
1034,2019,12,1,15.1,16.7,7.03,83,,10,102.7,1,4,9.1,30000,0.02,,,,,,,,,,,,,,,,,,,,
1035,2019,12,1,15.2,16.7,7.04,104,,9.8,99.9,1,4,8.4,4300,0.02,,,,,,,,,,,,,,,,,,,,
1002,2019,12,5.5,20.8,19.5,7.44,816,,2.9,31.6,1,4,23.4,34000,5.47,171,,,,,,,,,,,,,,,,,,,
1021,2019,12,6.75,20.2,19.4,7.18,262,,1,10.3,5.2,17.6,15.6,260000,3.66,18.9,,,,,,,,,,,,,,,,,,,
1023,2019,12,1,16,18.2,7.17,188,,7.6,79.9,1.8,12.6,2.6,59000,0.4,,,,,,,,,,,,,,,,,,,,
1024,2019,12,1,16.2,17.7,7.13,190,,7.4,77.2,1.9,13,8.2,60000,0.24,,,,,,,,,,,,,,,,,,,,
1010,2019,12,1.5,16.1,20.2,7.08,202,,5.5,59.7,2.6,8.8,6.8,64000,0.36,18,,,,,,,,,,,,,,,,,,,
1011,2019,12,1.5,16.4,20.7,7.06,202,,5.3,58.2,1.7,7.6,5.7,70000,0.48,18.7,,,,,,,,,,,,,,,,,,,
1012,2019,12,3.5,16.6,20.8,7.04,212,,4.1,45.1,2.1,14.3,7.9,300000,1.55,19.7,,,,,,,,,,,,,,,,,,,
1269,2019,12,1.5,16.3,18.9,7.52,194,,7.3,77.2,1.9,14.1,5.6,54000,0.54,17.6,,,,,,,,,,,,,,,,,,,
1270,2019,12,1.5,16.5,19.1,7.41,196,,6.8,72.6,1.4,10.4,5.4,81000,0.58,17.8,,,,,,,,,,,,,,,,,,,
1280,2019,12,3.5,16.4,20.8,7.02,214,,4.2,46.7,2.6,14.4,7.2,350000,1.54,19.3,,,,,,,,,,,,,,,,,,,
1013,2019,12,1,16.8,17.6,7.65,228,,8.7,91.3,1,4,6.9,2800,0.06,,,,,,,,,,,,,,,,,,,,
1036,2019,12,1,17.1,19.7,7.52,210,,8.7,96.1,1,4.3,4.5,570,0.02,,,,,,,,,,,,,,,,,,,,
1045,2019,12,7.75,19.5,20.3,7.68,1580,,6.5,72.1,48.1,324,408,850000,10.9,,,,,,,,,,,,,,,,,,,,
1046,2019,12,7.75,19.5,18.9,7.58,1530,,6.9,73.7,43.6,89.8,105,900000,7.6,,,,,,,,,,,,,,,,,,,,
1047,2019,12,8.25,22,18.7,7.47,587,,6.1,64.6,49.7,186,266,1800000,4.93,,,,,,,,,,,,,,,,,,,,
1048,2019,12,7.75,21.5,18,7.59,565,,7.2,75.3,41.3,151,273,1800000,6.46,,,,,,,,,,,,,,,,,,,,
1049,2019,12,8.25,21.5,17.9,8.14,671,,6.1,63.9,20.7,196,4160,1800000,5.59,,,,,,,,,,,,,,,,,,,,
1345,2019,12,7.75,19.5,20.1,7.7,1520,,6.6,72.8,91.6,327,409,1400000,10.8,,,,,,,,,,,,,,,,,,,,
1674,2019,12,8.25,20,19,7.45,741,,6.4,69,75.7,256,293,1800000,5.27,,,,,,,,,,,,,,,,,,,,
1050,2019,12,7.75,19,17.1,7.62,566,,6.6,68.4,45.3,138,161,1400000,8.16,,,,,,,,,,,,,,,,,,,,
1051,2019,12,7.75,13,17.2,7.62,442,,6.6,68.8,57.1,133,196,900000,6.68,,,,,,,,,,,,,,,,,,,,
1052,2019,12,7.75,13,17.6,7.47,540,,7.4,77.2,37.7,98.5,163,600000,7.2,,,,,,,,,,,,,,,,,,,,
1675,2019,12,5.5,18.5,16.3,7.62,697,,6.1,61.7,49.3,93.5,46.8,6000000,2.23,,,,,,,,,,,,,,,,,,,,
1053,2019,12,6.5,13,16.1,7.48,707,,5.4,56.6,15.4,42.2,24.8,1400000,7.26,,,,,,,,,,,,,,,,,,,,
1054,2019,12,4,13,16.1,8.44,574,,8.1,83.6,10.4,31.4,46.3,800000,2.19,,,,,,,,,,,,,,,,,,,,
1055,2019,12,7.75,13,16.8,7.44,666,,7.6,79.1,48.4,136,160,2600000,3.19,,,,,,,,,,,,,,,,,,,,
1056,2019,12,7.75,14,17,7.49,602,,8.4,86.9,42.8,93.5,136,1100000,3.67,,,,,,,,,,,,,,,,,,,,
1057,2019,12,7.75,14,16.8,7.71,824,,8.4,85.9,40.2,106,210,480000,3.88,,,,,,,,,,,,,,,,,,,,
1058,2019,12,5,14,16.2,7.83,1160,,7.9,80,17.1,51.3,32.8,650000,2.63,113,,,,,,,,,,,,,,,,,,,
1296,2019,12,7.25,13,17.8,7.42,1720,,6.4,67.6,20.4,58.7,62.8,160000,3.92,,,,,,,,,,,,,,,,,,,,
1059,2019,12,3.5,16,15.6,7.59,268,,8.7,88.7,8,17.8,11.4,310000,1.97,,,,,,,,,,,,,,,,,,,,
1060,2019,12,7.75,16,16.5,7.33,349,,6.8,70.1,94,211,271,2300000,6.44,,,,,,,,,,,,,,,,,,,,
1061,2019,12,8.25,16,16.5,7.47,421,,6.3,64.8,91.3,213,258,1800000,7.64,,,,,,,,,,,,,,,,,,,,
1062,2019,12,2.75,15,15.8,7.78,552,,9,89.6,6,16.8,12.6,85000,0.8,,,,,,,,,,,,,,,,,,,,
1063,2019,12,6.75,15,18.4,8.25,1180,,6.5,68.1,46.7,92.3,66.5,170000,4.39,,,,,,,,,,,,,,,,,,,,
1064,2019,12,5,16,15.7,7.4,398,,7.8,78,17.6,42.6,27,700000,1.39,,,,,,,,,,,,,,,,,,,,
1065,2019,12,5.75,16,15.8,7.67,484,,9.3,92.7,18.4,47.9,87.5,220000,2.52,,,,,,,,,,,,,,,,,,,,
1083,2019,12,1,21,21,7.67,516,,9.3,103.4,1,4,3,210,0.02,,,,,,,,,,,,,,,,,,,,
1088,2019,12,2.75,23,19.3,8,542,,8.5,91,1,4,1,300,1.61,,,,,,,,,,,,,,,,,,,,
1089,2019,12,5.5,23.5,23.3,7.04,3420,,6.3,74.2,8.7,20.4,36.6,270000,9.26,,,,,,,,,,,,,,,,,,,,
1090,2019,12,4.25,23,21.3,7.37,2970,,6.6,73.4,4.6,21.4,36.3,60000,9.74,,,,,,,,,,,,,,,,,,,,
1068,2019,12,3.25,21,18.8,7.89,747,,8.6,90.8,3.5,15,22.5,29000,1.52,,,,,,,,,,,,,,,,,,,,
1069,2019,12,5,22,17.1,7.82,4060,,5.9,59.9,10.4,26.9,16.1,55000,6.62,1040,,,,,,,,,,,,,,,,,,,
1066,2019,12,2.75,16,15.8,7.68,424,,8.9,89.2,5.8,25,19,120000,0.8,,,,,,,,,,,,,,,,,,,,
1669,2019,12,3.5,19,17.2,7.79,424,,9.4,98.3,6.3,26.7,12.7,23000,2.48,,,,,,,,,,,,,,,,,,,,
1670,2019,12,4.5,18,17.6,7.89,596,,7.8,80.8,5.1,30.9,9.8,2100,4.08,,,,,,,,,,,,,,,,,,,,
1075,2019,12,5,22,22.1,7.29,6360,,6,69.9,9.1,40.3,10.6,54000,10,,,,,,,,,,,,,,,,,,,,
1077,2019,12,4.5,18,19.8,7.66,5270,,8.3,92.1,7.7,36.5,11.2,52000,9.42,,,,,,,,,,,,,,,,,,,,
1079,2019,12,2.75,21,18.4,8.01,34800,,6.9,82.7,2.7,27.6,36.2,22000,1.5,12300,,,,,,,,,,,,,,,,,,,
1676,2019,12,5,22,22.8,7.22,6610,,6.2,72.9,9.4,45.3,11.6,37000,9.44,,,,,,,,,,,,,,,,,,,,
1070,2019,12,1,21.5,17.3,8.06,330,,8,84.7,1.5,8.6,7.5,3200,0.26,,,,,,,,,,,,,,,,,,,,
1071,2019,12,1.5,23,18.8,8.36,375,,10.3,109.8,4.3,17.4,11.7,3100,0.12,,,,,,,,,,,,,,,,,,,,
1072,2019,12,1,21,17.3,8.29,454,,11.1,115.4,1.4,8.6,6,2400,0.25,,,,,,,,,,,,,,,,,,,,
