siteID,year,month,キА放,程蔼放,程放,仓縩秖,獴ら计,程10だ牧硉,程俐丁硉,キА癸楞,程癸楞,キА代溃,羆ら酚计
466880,2015,1,16.3,24.5,8.5,24.7,8,7,15.1,67,36,1020.7,80.4
466900,2015,1,15.8,24.8,8.1,20.5,6,8.1,18.8,72,42,1020.2,124.9
466910,2015,1,9.8,20.1,2.6,136,13,8.9,20,87,44,926.7,72.1
466920,2015,1,16.7,24.8,10.3,20,6,7.7,15,67,39,1018.7,95.7
466930,2015,1,11.6,21.1,5.5,116,12,8.2,16.8,81,46,951.4,114.7
466940,2015,1,16.1,22.9,9.1,132.2,12,10.4,16,72,48,1019.2,51.8
466950,2015,1,15.7,22.1,10.2,36.5,9,20.5,30.9,70,48,1011,77.7
466990,2015,1,17.8,25.8,12.9,24.5,7,9.6,16.8,72,45,1019.7,56
467050,2015,1,15.6,24.2,7.1,18,3,15.7,24.8,74,49,1019.1,148
467060,2015,1,16.5,25.8,9.8,334.4,13,9.8,19,74,42,1019.5,63.2
467080,2015,1,16.2,26.3,8.9,64.1,12,9.8,14.6,75,42,1021.8,79.9
467110,2015,1,13.9,22.6,8.5,32.5,4,7.8,18.8,65,26,1020.2,161.7
467300,2015,1,17.8,23.9,14.4,20.7,3,19,25.4,72,44,1014.8,141.3
467350,2015,1,17.3,23.4,13.2,24.8,3,10.5,22.6,73,30,1019.5,127.4
467410,2015,1,17.8,27.8,10.6,13.5,1,9.5,15.6,70,33,1016.8,195.2
467440,2015,1,19.9,27.4,14.1,6,2,6.9,12.9,66,35,1019,199.8
467480,2015,1,16.8,28.6,8,6,4,6.8,11.2,75,37,1016.6,168.5
467490,2015,1,17.1,28.7,8.2,12.3,6,5.5,11.2,68,29,1009.9,203.5
467530,2015,1,6.7,15.6,-1.3,24,4,4.5,12.7,68,15,765.7,170
467540,2015,1,19.7,26,14.3,18.2,7,7.9,14.8,66,46,1019.6,76.3
467550,2015,1,1.5,14.2,-12.3,15.3,4,17.1,26.6,54,14,641.2,259.4
467571,2015,1,16,24.5,9.1,22.7,5,7.2,18.3,71,30,1017.7,167.6
467590,2015,1,20.8,27.9,17.2,34.5,3,12.9,28.2,62,46,1017,189.8
467610,2015,1,18.3,26.4,13.8,55.7,17,8.9,16.3,70,49,1016.3,40.6
467620,2015,1,17.5,23,14,86,14,21.1,33.5,76,52,982,50.4
467650,2015,1,14.2,24.5,8.5,15,6,5.2,6.9,76,20,906.1,174.8
467660,2015,1,19,26.8,13.8,42.1,9,5.4,14.3,68,43,1020.1,74.6
467990,2015,1,11.3,19.1,6.9,45.2,4,8.8,20,77,43,1013.4,138
466880,2015,2,17,26.8,9.9,95.5,11,6.5,14.2,72,32,1018.7,66.3
466900,2015,2,16.3,27.2,9.4,34,8,5.9,13.5,77,36,1018.1,91.5
466910,2015,2,11.3,21.6,2.5,112.7,18,8.9,17.3,91,51,925.3,71
466920,2015,2,17.3,27.6,9.8,90,11,8.1,14.6,72,34,1016.8,78.9
466930,2015,2,13,23.1,4.3,90.5,15,7.1,16.1,85,44,949.8,99
466940,2015,2,16.5,26.2,10,187.4,17,11,16.1,78,40,1017.1,56.7
466950,2015,2,16.2,22.7,9.8,29.3,10,17.2,23.8,75,37,1008.8,58.1
466990,2015,2,18.5,27.1,11.5,13.1,12,10.4,18.3,79,50,1017.7,69.2
467050,2015,2,15.8,26.8,7.8,81,8,13.3,20.6,79,37,1017.5,89.9
467060,2015,2,17.1,25.6,9.6,207,21,7.9,20.8,81,40,1017.3,71.4
467080,2015,2,17.1,27.2,9.2,56.9,17,9.6,17.2,80,33,1019.6,76.5
467110,2015,2,14.5,23.8,6.7,55.2,5,8.4,17.2,69,22,1018.4,113.6
467300,2015,2,18.2,26.3,12.6,56.2,2,19.8,26.5,76,36,1013.9,141.7
467350,2015,2,17.8,26.1,12.1,19.7,2,11,23.5,76,37,1018.3,123.2
467410,2015,2,18.9,29.2,10.5,22,3,9.9,17.2,73,37,1015.8,186.6
467440,2015,2,20.8,29.4,12.3,38,3,6.7,12.4,69,37,1017.9,194.8
467480,2015,2,18.1,28.3,9.3,30.1,3,7.3,12.7,77,35,1015.5,143.5
467490,2015,2,18.1,28.9,9.6,21.2,4,6.2,14.4,71,26,1008.8,160.3
467530,2015,2,6.6,16.8,-1.6,55.1,5,4,9.9,78,18,765.6,117.3
467540,2015,2,20.5,28.2,12.1,14.1,5,7.3,15.1,71,49,1018,104.2
467550,2015,2,-1.9,11.6,-9.3,13,6,13.2,24.3,80,14,640.5,124.4
467571,2015,2,16.2,26.3,9.2,47.2,12,5.5,14,78,31,1016.4,93.6
467590,2015,2,21.6,29.8,12.9,29,2,11.3,23.4,68,49,1016,178.9
467610,2015,2,19.3,27.5,13.2,17.4,11,8.7,16,73,48,1014.5,55.1
467620,2015,2,18.6,25.8,12.7,85.7,16,20.9,31.8,80,58,981.1,72.6
467650,2015,2,14.7,26,6.4,10,3,5.2,9.3,79,37,904.9,145.1
467660,2015,2,20.1,27.5,13,27.4,5,5.2,14.9,72,46,1018.3,88.5
467990,2015,2,11.1,21.4,4.9,10,11,8.9,16.9,81,30,1011.2,81
466880,2015,3,18.7,30.7,11.6,187.2,13,6,13.8,77,43,1017.4,78.9
466900,2015,3,17.9,28.8,10.8,129,9,7.1,15.5,82,39,1016.8,94.6
466910,2015,3,13.5,25.5,5.3,305.7,14,11.5,24.5,92,47,924.8,83.7
466920,2015,3,18.9,31.7,11.4,182,13,7.2,14.5,80,47,1015.5,89.3
466930,2015,3,15,28.9,6.8,247.2,13,10.6,19.8,87,42,949,100.4
466940,2015,3,17.8,29.6,11.2,410,18,10.7,16,83,44,1016,74.7
466950,2015,3,17.2,26.7,10.6,118.8,16,15.4,22.1,83,56,1007.6,81.9
466990,2015,3,20.4,28.2,14.2,88,13,10.4,18.1,81,54,1016.4,95.6
467050,2015,3,17.7,27.7,10.9,134.5,15,15.2,22.6,87,56,1016.1,97.3
467060,2015,3,18.9,28.8,12.1,540.9,18,8.3,19.2,84,59,1016,79.3
467080,2015,3,18.9,29.3,11.8,236,13,8.1,13.8,83,55,1018.2,84.7
467110,2015,3,15.8,25.5,8.5,28.1,12,9.5,20.4,74,34,1016.9,80.4
467300,2015,3,20.8,27.2,16.1,51.9,4,18,24.4,79,66,1012.6,124.9
467350,2015,3,20.4,28.5,15,40.3,4,10.9,21.9,79,59,1016.7,109.3
467410,2015,3,21.8,29.4,14.5,5.1,2,9.3,16.5,75,42,1014.5,189.6
467440,2015,3,23.6,29.7,17,0,0,6.5,12.2,72,55,1016.6,204.6
467480,2015,3,20.9,33.2,13.9,7.3,6,7.6,13.8,79,42,1014.2,136.5
467490,2015,3,20.7,34.7,13,24.8,10,5.6,11.4,74,28,1007.6,143.7
467530,2015,3,10.4,19.4,1.9,41,7,5,10.6,82,38,767.1,139.6
467540,2015,3,22.5,30.6,16.6,13.5,6,8.3,15.2,74,55,1016.8,107.9
467550,2015,3,2.3,18.9,-7.5,12.9,3,14,22.5,81,12,643.1,126.6
467571,2015,3,18.3,29.1,11.3,132.7,15,7.7,18.8,83,46,1015,109.6
467590,2015,3,23.8,30.9,17.9,0.1,1,12.7,26.1,68,46,1014.8,183.2
467610,2015,3,21.1,28.2,15.1,92.9,21,10.7,16.3,79,57,1013.4,59.5
467620,2015,3,20.2,26,15.2,176.5,19,20.5,28.4,85,63,980.3,85.6
467650,2015,3,17.4,31.2,10.2,20,6,3.5,7.7,83,31,904.9,127.9
467660,2015,3,22.2,29,16.3,55.7,11,5.7,15,74,52,1016.9,103.2
467990,2015,3,12.8,26.8,5.9,46,14,11.7,22.6,84,36,1009.7,94.1
466880,2015,4,22.6,33.9,11.2,79.4,10,6.8,13.6,74,21,1013,134.2
466900,2015,4,21.8,33.5,12.6,89.5,10,6.3,12.6,77,33,1012.5,142.1
466910,2015,4,16.8,27.7,7,119.8,13,8.2,17.9,85,24,922.2,124.1
466920,2015,4,22.7,34.5,13.6,87.6,10,8.6,17.6,75,20,1011.2,112.9
466930,2015,4,18.5,30.1,9.6,96.5,11,8.9,19.8,80,24,945.9,139
466940,2015,4,21.6,32.2,12.4,137.7,13,10.7,20.6,76,28,1011.7,106.4
466950,2015,4,20.4,28.2,10.6,72.3,14,18.7,23.6,82,42,1003.4,136.3
466990,2015,4,22.9,30.2,16.3,57,16,11.2,17,82,49,1012.4,110
467050,2015,4,21.5,30.6,11.5,104,10,14.6,23.6,84,35,1012,146.4
467060,2015,4,22.1,30.2,14.9,84.1,13,9.1,18.9,81,29,1011.8,110.5
467080,2015,4,22,32.3,12.8,75,17,8.2,13.4,80,24,1013.8,106.9
467110,2015,4,20,30.7,11,72.9,9,8.4,18.1,74,23,1012.2,167
467300,2015,4,23.5,29.7,18.2,35.9,3,17.5,25.3,77,29,1009.2,234.2
467350,2015,4,23.5,31.6,15.9,72.7,5,10.3,21.5,76,25,1013.2,196.6
467410,2015,4,24.9,32.3,16.8,25.8,4,9.7,15.3,73,21,1011.2,253.4
467440,2015,4,26.2,31.8,18.5,7,4,7.9,14.1,70,24,1013.4,259.7
467480,2015,4,24.1,33.6,11.2,108.1,5,9.7,17,76,26,1010.7,229.6
467490,2015,4,24.4,34.1,12.4,47.7,7,5.1,10.3,68,22,1004.1,204
467530,2015,4,11.8,22.2,-0.9,123.5,8,5.1,12.1,75,15,766.1,152.5
467540,2015,4,25.1,35.6,16.8,200.1,11,8.8,15.3,74,35,1013.1,144.9
467550,2015,4,3.6,18.4,-10.1,85.1,10,17.5,25,74,14,642.9,167.1
467571,2015,4,22.4,32.7,12.1,100.5,10,5.6,15.6,78,34,1011,152.8
467590,2015,4,25.9,32.6,17.2,102.8,4,9.1,23.7,72,35,1011.6,232.5
467610,2015,4,23.6,30.4,18.1,69.5,19,11,16.8,79,49,1009.6,91.2
467620,2015,4,22.4,27.8,16.8,354.6,17,21.3,31.1,84,58,977.2,112.7
467650,2015,4,19.8,32.5,9,108.5,5,7.6,12.8,77,27,902.9,184.2
467660,2015,4,24.4,34.8,17.6,120.1,12,5.2,14.2,77,30,1012.8,152.4
467990,2015,4,17.6,29.2,8.9,76.1,11,13,22.7,79,31,1004.7,132
466880,2015,5,26,35.5,18.5,239.4,15,7.2,14.4,76,43,1007.8,106.2
466900,2015,5,25.3,34.2,18.4,260,14,5.3,19.9,81,49,1007.3,100.8
466910,2015,5,20.4,28.1,12.1,372.1,19,9.2,16.6,90,40,918.6,59.7
466920,2015,5,26.1,36.5,18.1,302.8,18,7.1,14.4,78,43,1006.1,82.1
466930,2015,5,22.1,30,14.7,301.3,17,8.4,17.3,84,56,942,84.9
466940,2015,5,25.4,36,18.7,262.3,18,8.5,16.7,78,47,1006.4,101.9
466950,2015,5,23.7,30.6,17.3,115,17,18.2,23.2,86,48,998.3,112.8
466990,2015,5,25.6,32.3,19.9,173,19,8.3,13.2,85,54,1007.5,142.8
467050,2015,5,25.1,31.7,18,360.8,14,13.8,21,87,51,1006.9,113.6
467060,2015,5,25.2,32.4,18.8,288.3,19,8.2,19.7,84,50,1006.8,127.6
467080,2015,5,25,33.7,18.2,205.6,20,8.3,14.4,84,57,1008.7,112.4
467110,2015,5,23.5,32.6,17.2,169,20,7.8,17.4,83,30,1006.6,80.3
467300,2015,5,26.6,32.6,21.9,267.2,8,15.4,18.7,82,60,1005.1,190
467350,2015,5,26.5,33,22.4,329.5,10,7.6,14.1,82,55,1008.9,186.1
467410,2015,5,27.7,33.1,22.8,300,14,8.1,15.4,80,53,1007.3,189.3
467440,2015,5,28.3,33.6,24.7,300.5,11,7.9,13.2,77,55,1009.6,213.6
467480,2015,5,27.3,35,22.4,405.5,14,8.4,13.3,81,41,1006.7,171.4
467490,2015,5,26.9,34.7,21.7,662,15,4.7,9.4,77,43,1000,120.9
467530,2015,5,13.9,22.5,7.5,1002.8,23,5.5,14.6,85,28,764.9,106.1
467540,2015,5,27.2,37.2,21.9,259.8,10,8.3,14,77,37,1008.4,193.8
467550,2015,5,6.4,17.4,0.9,705.6,24,17.2,22.5,83,17,642.6,116.5
467571,2015,5,25.7,34.2,18.5,363.1,13,5.4,17.6,81,52,1006,118.9
467590,2015,5,27.9,33,23.3,391.8,8,7.4,15.3,76,59,1007.8,198.8
467610,2015,5,25.7,31.7,20.8,183.3,18,10.2,16.8,83,59,1004.7,121.3
467620,2015,5,24.4,27.8,21.1,131,13,32.4,49.3,87,66,973.1,106.9
467650,2015,5,21.1,30.4,17,572.5,20,8.2,14.4,88,41,900.3,99.1
467660,2015,5,26.5,33.1,21.4,178.4,17,4.8,11.8,83,57,1008,174
467990,2015,5,21.3,31.5,13.6,115.8,18,11.8,22.2,85,35,999.3,90.1
466880,2015,6,29.8,36.3,24.5,230.1,8,6.8,14.4,71,45,1006.2,224.3
466900,2015,6,29.2,35.6,24.1,38,6,5,33.9,76,50,1005.7,226.6
466910,2015,6,23.7,28.8,20.5,43.8,8,5.5,17.7,89,58,917.9,125.9
466920,2015,6,30,37.1,24.5,248.3,9,8,15.5,73,47,1004.3,146.9
466930,2015,6,25.2,30.5,21.3,42.4,8,5,11.8,80,60,941.2,167.7
466940,2015,6,29,36.5,23.8,47.1,9,7.8,16.4,76,46,1004.8,222.3
466950,2015,6,27.6,32.9,21.9,18.8,4,18.5,23,87,69,996.4,235.3
