siteid,sitename,itemid,itemname,itemengname,itemunit,monitormonth,concentration,month,year
85,大城,143,小時風速值,WS_HR,m/sec,202406,2.9,6,2024
85,大城,38,相對濕度,RH,%,202406,82.0,6,2024
85,大城,33,細懸浮微粒,PM2.5,μg/m3,202406,6.3,6,2024
85,大城,31,甲烷,CH4,ppm,202406,2.06,6,2024
85,大城,14,溫度,AMB_TEMP,℃,202406,29.9,6,2024
85,大城,10,風速,WIND_SPEED,m/sec,202406,3.1,6,2024
85,大城,9,非甲烷碳氫化合物,NMHC,ppm,202406,0.02,6,2024
85,大城,8,總碳氫化物,THC,ppm,202406,2.09,6,2024
85,大城,7,二氧化氮,NO2,ppb,202406,3.3,6,2024
85,大城,6,一氧化氮,NO,ppb,202406,1.5,6,2024
85,大城,5,氮氧化物,NOx,ppb,202406,4.9,6,2024
85,大城,4,懸浮微粒,PM10,μg/m3,202406,20.0,6,2024
85,大城,3,臭氧,O3,ppb,202406,26.4,6,2024
85,大城,2,一氧化碳,CO,ppm,202406,0.09,6,2024
85,大城,1,二氧化硫,SO2,ppb,202406,1.1,6,2024
84,富貴角,143,小時風速值,WS_HR,m/sec,202406,2.9,6,2024
84,富貴角,38,相對濕度,RH,%,202406,85.0,6,2024
84,富貴角,33,細懸浮微粒,PM2.5,μg/m3,202406,7.6,6,2024
84,富貴角,31,甲烷,CH4,ppm,202406,1.92,6,2024
84,富貴角,14,溫度,AMB_TEMP,℃,202406,27.2,6,2024
84,富貴角,10,風速,WIND_SPEED,m/sec,202406,3.0,6,2024
84,富貴角,9,非甲烷碳氫化合物,NMHC,ppm,202406,0.0,6,2024
84,富貴角,8,總碳氫化物,THC,ppm,202406,1.93,6,2024
84,富貴角,7,二氧化氮,NO2,ppb,202406,2.4,6,2024
84,富貴角,6,一氧化氮,NO,ppb,202406,0.2,6,2024
84,富貴角,5,氮氧化物,NOx,ppb,202406,2.7,6,2024
84,富貴角,4,懸浮微粒,PM10,μg/m3,202406,22.0,6,2024
84,富貴角,3,臭氧,O3,ppb,202406,34.1,6,2024
84,富貴角,2,一氧化碳,CO,ppm,202406,0.11,6,2024
84,富貴角,1,二氧化硫,SO2,ppb,202406,0.3,6,2024
83,麥寮,143,小時風速值,WS_HR,m/sec,202406,2.4,6,2024
83,麥寮,38,相對濕度,RH,%,202406,83.0,6,2024
83,麥寮,33,細懸浮微粒,PM2.5,μg/m3,202406,6.5,6,2024
83,麥寮,31,甲烷,CH4,ppm,202406,2.09,6,2024
83,麥寮,14,溫度,AMB_TEMP,℃,202406,29.6,6,2024
83,麥寮,10,風速,WIND_SPEED,m/sec,202406,2.7,6,2024
83,麥寮,9,非甲烷碳氫化合物,NMHC,ppm,202406,0.01,6,2024
83,麥寮,8,總碳氫化物,THC,ppm,202406,2.11,6,2024
83,麥寮,7,二氧化氮,NO2,ppb,202406,4.0,6,2024
83,麥寮,6,一氧化氮,NO,ppb,202406,1.5,6,2024
83,麥寮,5,氮氧化物,NOx,ppb,202406,5.6,6,2024
83,麥寮,4,懸浮微粒,PM10,μg/m3,202406,18.0,6,2024
83,麥寮,3,臭氧,O3,ppb,202406,24.0,6,2024
83,麥寮,2,一氧化碳,CO,ppm,202406,0.15,6,2024
83,麥寮,1,二氧化硫,SO2,ppb,202406,1.4,6,2024
80,關山,143,小時風速值,WS_HR,m/sec,202406,0.9,6,2024
80,關山,38,相對濕度,RH,%,202406,76.0,6,2024
80,關山,33,細懸浮微粒,PM2.5,μg/m3,202406,6.2,6,2024
80,關山,14,溫度,AMB_TEMP,℃,202406,28.7,6,2024
80,關山,10,風速,WIND_SPEED,m/sec,202406,1.2,6,2024
80,關山,7,二氧化氮,NO2,ppb,202406,2.5,6,2024
80,關山,6,一氧化氮,NO,ppb,202406,0.9,6,2024
80,關山,5,氮氧化物,NOx,ppb,202406,3.5,6,2024
80,關山,4,懸浮微粒,PM10,μg/m3,202406,21.0,6,2024
80,關山,3,臭氧,O3,ppb,202406,18.4,6,2024
80,關山,2,一氧化碳,CO,ppm,202406,0.11,6,2024
80,關山,1,二氧化硫,SO2,ppb,202406,0.6,6,2024
78,馬公,143,小時風速值,WS_HR,m/sec,202406,1.7,6,2024
78,馬公,38,相對濕度,RH,%,202406,88.0,6,2024
78,馬公,33,細懸浮微粒,PM2.5,μg/m3,202406,4.7,6,2024
78,馬公,31,甲烷,CH4,ppm,202406,1.88,6,2024
78,馬公,14,溫度,AMB_TEMP,℃,202406,29.8,6,2024
78,馬公,10,風速,WIND_SPEED,m/sec,202406,2.0,6,2024
78,馬公,9,非甲烷碳氫化合物,NMHC,ppm,202406,0.01,6,2024
78,馬公,8,總碳氫化物,THC,ppm,202406,1.88,6,2024
78,馬公,7,二氧化氮,NO2,ppb,202406,5.1,6,2024
78,馬公,6,一氧化氮,NO,ppb,202406,4.5,6,2024
78,馬公,5,氮氧化物,NOx,ppb,202406,9.7,6,2024
78,馬公,4,懸浮微粒,PM10,μg/m3,202406,9.0,6,2024
78,馬公,3,臭氧,O3,ppb,202406,27.7,6,2024
78,馬公,2,一氧化碳,CO,ppm,202406,0.13,6,2024
78,馬公,1,二氧化硫,SO2,ppb,202406,1.1,6,2024
77,金門,143,小時風速值,WS_HR,m/sec,202406,2.0,6,2024
77,金門,38,相對濕度,RH,%,202406,86.0,6,2024
77,金門,33,細懸浮微粒,PM2.5,μg/m3,202406,6.1,6,2024
77,金門,31,甲烷,CH4,ppm,202406,1.87,6,2024
77,金門,14,溫度,AMB_TEMP,℃,202406,27.0,6,2024
77,金門,10,風速,WIND_SPEED,m/sec,202406,2.2,6,2024
77,金門,9,非甲烷碳氫化合物,NMHC,ppm,202406,0.02,6,2024
77,金門,8,總碳氫化物,THC,ppm,202406,1.88,6,2024
77,金門,7,二氧化氮,NO2,ppb,202406,7.3,6,2024
77,金門,6,一氧化氮,NO,ppb,202406,1.7,6,2024
77,金門,5,氮氧化物,NOx,ppb,202406,9.1,6,2024
77,金門,4,懸浮微粒,PM10,μg/m3,202406,10.0,6,2024
77,金門,3,臭氧,O3,ppb,202406,27.4,6,2024
77,金門,2,一氧化碳,CO,ppm,202406,0.12,6,2024
77,金門,1,二氧化硫,SO2,ppb,202406,0.8,6,2024
75,馬祖,143,小時風速值,WS_HR,m/sec,202406,2.2,6,2024
75,馬祖,38,相對濕度,RH,%,202406,86.0,6,2024
75,馬祖,33,細懸浮微粒,PM2.5,μg/m3,202406,7.3,6,2024
75,馬祖,31,甲烷,CH4,ppm,202406,1.94,6,2024
75,馬祖,14,溫度,AMB_TEMP,℃,202406,24.9,6,2024
75,馬祖,10,風速,WIND_SPEED,m/sec,202406,2.4,6,2024
75,馬祖,9,非甲烷碳氫化合物,NMHC,ppm,202406,0.0,6,2024
75,馬祖,8,總碳氫化物,THC,ppm,202406,1.93,6,2024
75,馬祖,7,二氧化氮,NO2,ppb,202406,3.3,6,2024
75,馬祖,6,一氧化氮,NO,ppb,202406,0.9,6,2024
75,馬祖,5,氮氧化物,NOx,ppb,202406,4.3,6,2024
75,馬祖,4,懸浮微粒,PM10,μg/m3,202406,17.0,6,2024
75,馬祖,3,臭氧,O3,ppb,202406,36.9,6,2024
75,馬祖,2,一氧化碳,CO,ppm,202406,0.14,6,2024
75,馬祖,1,二氧化硫,SO2,ppb,202406,0.6,6,2024
72,埔里,143,小時風速值,WS_HR,m/sec,202406,0.9,6,2024
72,埔里,38,相對濕度,RH,%,202406,86.0,6,2024
72,埔里,33,細懸浮微粒,PM2.5,μg/m3,202406,10.0,6,2024
72,埔里,31,甲烷,CH4,ppm,202406,2.04,6,2024
72,埔里,14,溫度,AMB_TEMP,℃,202406,26.5,6,2024
72,埔里,10,風速,WIND_SPEED,m/sec,202406,1.3,6,2024
72,埔里,9,非甲烷碳氫化合物,NMHC,ppm,202406,0.03,6,2024
72,埔里,8,總碳氫化物,THC,ppm,202406,2.08,6,2024
72,埔里,7,二氧化氮,NO2,ppb,202406,3.2,6,2024
72,埔里,6,一氧化氮,NO,ppb,202406,1.6,6,2024
72,埔里,5,氮氧化物,NOx,ppb,202406,4.8,6,2024
72,埔里,4,懸浮微粒,PM10,μg/m3,202406,17.0,6,2024
72,埔里,3,臭氧,O3,ppb,202406,19.1,6,2024
72,埔里,2,一氧化碳,CO,ppm,202406,0.18,6,2024
72,埔里,1,二氧化硫,SO2,ppb,202406,1.1,6,2024
71,復興,143,小時風速值,WS_HR,m/sec,202406,0.4,6,2024
71,復興,38,相對濕度,RH,%,202406,77.0,6,2024
