觀測站ID,觀測站,年,月,時間,平均溫度,最高溫度,最高溫度發生日期,最低溫度,最低溫度發生日期,累積降水量,降雨日數,最大10分鐘風風速,最大10分鐘風發生日期,最大10分鐘風風向,最大瞬間風風速,最大瞬間風發生日期,最大瞬間風風向,平均相對濕度,最小相對濕度,最小相對濕度發生日期,平均測站氣壓,總日照時數
466880,板橋,2015,1,2015/01,16.3,24.5,2015/01/24,8.5,2015/01/24,24.7,8,7.0,2015/01/19,70,15.1,2015/01/19,80,67,36,2015/01/23,1020.7,80.4
466900,淡水,2015,1,2015/01,15.8,24.8,2015/01/06,8.1,2015/01/23,20.5,6,8.1,2015/01/13,140,18.8,2015/01/13,140,72,42,2015/01/24,1020.2,124.9
466910,鞍部,2015,1,2015/01,9.8,20.1,2015/01/06,2.6,2015/01/22,136,13,8.9,2015/01/12,160,20.0,2015/01/13,180,87,44,2015/01/24,926.7,72.1
466920,臺北,2015,1,2015/01,16.7,24.8,2015/01/24,10.3,2015/01/23,20,6,7.7,2015/01/19,80,15.0,2015/01/19,70,67,39,2015/01/23,1018.7,95.7
466930,竹子湖,2015,1,2015/01,11.6,21.1,2015/01/06,5.5,2015/01/01,116,12,8.2,2015/01/07,20,16.8,2015/01/29,20,81,46,2015/01/24,951.4,114.7
466940,基隆,2015,1,2015/01,16.1,22.9,2015/01/06,9.1,2015/01/23,132.2,12,10.4,2015/01/30,10,16.0,2015/01/30,360,72,48,2015/01/24,1019.2,51.8
466950,彭佳嶼,2015,1,2015/01,15.7,22.1,2015/01/06,10.2,2015/01/01,36.5,9,20.5,2015/01/13,120,30.9,2015/01/13,120,70,48,2015/01/22,1011.0,77.7
466990,花蓮,2015,1,2015/01,17.8,25.8,2015/01/06,12.9,2015/01/24,24.5,7,9.6,2015/01/30,40,16.8,2015/01/30,60,72,45,2015/01/22,1019.7,56.0
467050,新屋,2015,1,2015/01,15.6,24.2,2015/01/06,7.1,2015/01/24,18,3,15.7,2015/01/19,40,24.8,2015/01/19,40,74,49,2015/01/22,1019.1,148.0
467060,蘇澳,2015,1,2015/01,16.5,25.8,2015/01/06,9.8,2015/01/23,334.4,13,9.8,2015/01/24,160,19.0,2015/01/01,30,74,42,2015/01/22,1019.5,63.2
