StationID,StationName,StationNameEN,StationAltitude,StationLongitude,StationLatitude,CountyName,Location,StationStartDate,StationEndDate,status,OriginalStationID,NewStationID
466850,五分山雷達站,WUFENSHAN,756,121.781205,25.071182,新北市,瑞芳區靜安路四段1巷1號,1988/7/1,,現存測站,,
466880,板橋,BANQIAO,9.7,121.442017,24.997647,新北市,板橋區大觀路二段265巷62號,2002/1/1,2022/12/31,已撤銷,,466881
466881,新北,New Taipei,24.1,121.52,24.9593,新北市,新店區莒光路29號,2023/1/1,,現存測站,466880,
466900,淡水,TAMSUI,19,121.448906,25.164889,新北市,淡水區中正東路42巷6號,1942/10/1,,現存測站,,
466910,鞍部,ANBU,837.6,121.529731,25.182586,臺北市,北投區陽明山竹子湖路111號,1943/1/1,,現存測站,,
466920,臺北,TAIPEI,5.3,121.514853,25.037658,臺北市,中正區公園路64號,1896-08-11,,現存測站,,
466921,臺北(師院),TAIPEI,6.1,121.513225,25.036275,臺北市,中正區公園路,1992/2/1,1997/9/1,已撤銷,,
466930,竹子湖,ZHUZIHU,607.1,121.544547,25.162078,臺北市,北投區陽明山竹子湖路2號,1943/1/1,,現存測站,,
466940,基隆,KEELUNG,26.7,121.740475,25.133314,基隆市,仁愛區港西街6號6樓(海港大樓6樓),1946/10/1,,現存測站,,
466950,彭佳嶼,PENGJIAYU,101.7,122.079744,25.627975,基隆市,中正區彭佳嶼,1936/5/1,,現存測站,,
466990,花蓮,HUALIEN,16.1,121.613275,23.975128,花蓮縣,花蓮市花崗街24號,1910/11/1,,現存測站,,
467050,新屋,XINWU,20.6,121.047486,25.006744,桃園市,新屋區東興路二段946號,2013/7/1,,現存測站,,
467060,蘇澳,SU-AO,24.9,121.857372,24.596736,宜蘭縣,蘇澳鎮港區路1號6樓(蘇澳港行政大樓6樓),1982/1/1,2023/4/1,已撤銷,,C0UB10
467080,宜蘭,YILAN,7.2,121.756528,24.763975,宜蘭縣,宜蘭市力行路150號,1935/12/6,,現存測站,,
467110,金門,KINMEN,47.9,118.289281,24.407306,金門縣,金城鎮金水里西海路一段250號,2004/1/16,,現存測站,,
467270,田中,TianZhong,48.6,120.581286,23.873803,彰化縣,田中鎮中潭里4鄰高鐵三路1段167號,2020/4/9,,現存測站,,
467300,東吉島,DONGJIDAO,43,119.667467,23.25695,澎湖縣,望安鄉東吉村156號,1963/1/1,,現存測站,,
467350,澎湖,PENGHU,10.7,119.563094,23.565503,澎湖縣,馬公市新興路2號,1896-11-21,,現存測站,,
467410,臺南,TAINAN,40.8,120.204772,22.993239,臺南市,中西區公園路21號,1897-01-01,,現存測站,,
467411,臺南(永康),TAINAN,8.1,120.2367,23.038386,臺南市,永康區中正南路654巷40弄1號,1998/5/1,2002/1/1,已撤銷,,
467420,永康,YONGKANG,8.1,120.2367,23.038386,臺南市,永康區鹽行里正南五街520巷88號,1947/6/1,,現存測站,,
467440,高雄,KAOHSIUNG,2.3,120.315733,22.565992,高雄市,前鎮區明孝里26鄰漁港南二路2號,1931/4/1,2022/1/24,已撤銷,,467441
467441,高雄,Kaohsiung,11.8,120.3125,22.7304,高雄市,楠梓區德民路28號,2022/1/24,,現存測站,467440,
467480,嘉義,CHIAYI,26.9,120.432906,23.495925,嘉義市,西區北新里海口寮路56號,1968/9/1,,現存測站,,
467490,臺中,TAICHUNG,84,120.684075,24.145736,臺中市,北區精武路295號,1897-01-01,,現存測站,,
467530,阿里山,ALISHAN,2413.4,120.813242,23.508208,嘉義縣,阿里山鄉中正村4鄰東阿里山73-1號,1933/4/1,,現存測站,,
467540,大武,DAWU,8.1,120.903789,22.355675,臺東縣,大武鄉大武街115號,1940/1/1,,現存測站,,
467550,玉山,YUSHAN,3844.8,120.959522,23.487614,南投縣,信義鄉玉山北峰1號,1943/10/1,,現存測站,,
467570,新竹,HSINCHU,32.8,120.977639,24.800446,新竹市,公園路291號,1938/1/1,1991/7/1,已撤銷,,
467571,新竹,HSINCHU,26.9,121.014219,24.827853,新竹縣,竹北市北崙里3鄰光明五街60號,1991/7/1,,現存測站,,
467590,恆春,HENGCHUN,22.3,120.746339,22.003897,屏東縣,恆春鎮天文路50號,1896-11-20,,現存測站,,
467610,成功,CHENGGONG,33.5,121.373428,23.097486,臺東縣,成功鎮公民路84號,1940/1/1,,現存測站,,
467620,蘭嶼,LANYU,324,121.558339,22.036969,臺東縣,蘭嶼鄉紅頭村2號,1941/11/1,,現存測站,,
467650,日月潭,SUN MOON LAKE,1017.5,120.90805,23.881325,南投縣,魚池鄉水社村中山路270巷14號,1941/11/1,,現存測站,,
467660,臺東,TAITUNG,9,121.154586,22.752211,臺東縣,臺東市大同路106號,1901/1/1,,現存測站,,
467770,梧棲,WUQI,31.7,120.523381,24.256003,臺中市,梧棲區臺灣大道十段2號海港大樓6樓,1978/7/1,2022/7/31,已撤銷,,C0FA30
467780,七股,QIGU,2.9,120.086153,23.147006,臺南市,七股區鹽埕237-11號,2001/11/1,2016/6/1,已撤銷,,
467790,墾丁雷達站,KENTING,42,120.808028,21.948235,屏東縣,恆春鎮燈塔路51巷33號,2001/11/1,,現存測站,,
467990,馬祖,MATSU,97.8,119.923419,26.169269,連江縣,南竿鄉四維村6鄰88號,2004/1/1,,現存測站,,
